,Boat Type,Manufacturer,Condition,Year Built,Length,Width,Material,Number of views last 7 days,Price in usd,Country
1381,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2004,11.25,3.54,GRP,180,74579.0,Italy
1382,Center console boat,Sessa power boats,new boat from stock,2020,7.0,2.5,GRP,113,74579.0,Italy
1383,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.71,2.54,PVC,25,74525.5,France
1384,Trawler,De Boarnstream power boats,Used boat,1996,10.1,3.55,Steel,121,74900.0,Netherlands
1385,Fishing Boat,Mako Boats power boats,"Used boat,Unleaded",2008,8.64,3.0,GRP,49,74900.0,Italy
1386,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2006,9.21,3.56,GRP,89,74900.0,Italy
1387,Flybridge,Fairline power boats,"Used boat,Diesel",1990,12.93,4.18,GRP,98,74900.0,Italy
1388,Motor Yacht,ManÃ² power boats,"Used boat,Diesel",2006,11.0,3.2,GRP,103,74900.0,Italy
1391,Motor Yacht,Aquador power boats,"Used boat,Diesel",2004,8.25,3.05,GRP,307,74900.0,Germany
1392,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1992,13.5,4.52,GRP,89,74900.0,Italy
1393,Pilothouse,Quicksilver power boats,"Used boat,Unleaded",2018,7.38,2.4,GRP,83,74900.0,Italy
1394,Cabin Boat,Capelli power boats,"Used boat,Unleaded",2009,9.6,3.0,GRP,147,74900.0,Italy
1395,Cabin Boat,Regal power boats,"Used boat,Unleaded",2009,8.5,3.2,GRP,177,74900.0,Italy
1396,Pontoon Boat,Tornado power boats,Used boat,1989,11.0,3.86,GRP,355,74900.0,Italy
1397,Runabout,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,8.05,3.0,GRP,65,74898.93000000001,Germany
1398,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.19,2.52,PVC,76,76505.0,France
1399,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,8.23,2.79,PVC,81,76505.0,France
1400,Motor Yacht,Viper power boats,"new boat from stock,Unleaded",2020,7.25,2.57,GRP,230,85640.94,Switzerland
1401,Cabin Boat,Back Cove power boats,"Used boat,Diesel",2008,8.15,2.87,GRP,69,96300.0,United
1402,Pilothouse,Jeanneau power boats,Used boat,2019,7.92,2.77,GRP,38,96300.0,United
1403,Flybridge,Bayliner power boats,Used boat,1997,11.15,3.35,GRP,192,74200.0,Denmark
1404,Pilothouse,Salpa power boats,"new boat from stock,Unleaded",2020,7.6,2.53,GRP,166,85359.00000000001,Switzerland
1405,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,8.03,2.78,PVC,31,75970.0,France
1406,Bowrider,Regal power boats,"Used boat,Unleaded",2015,7.3,2.53,GRP,71,75970.0,France
1407,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,8.23,2.76,GRP,37,75970.0,France
1408,Pilothouse,Rampage power boats,"Used boat,Diesel",2006,9.5,3.3,GRP,79,75970.0,Italy
1409,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,7.88,2.55,GRP,42,75959.3,Germany
1410,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.92,2.59,PVC,73,75863.0,France
1411,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.09,2.5,PVC,37,75863.0,France
1412,Offshore Boat,Off-Course power boats,"Used boat,Diesel",1995,13.8,3.85,GRP,274,84915.00000000001,Switzerland
1413,Motor Yacht,Atlantic Marine power boats,"new boat from stock,Unleaded",0,6.99,2.48,GRP,123,84915.00000000001,Switzerland
1414,Sport Boat,Pro-Line power boats,"Used boat,Unleaded",2007,9.86,3.3,GRP,49,78110.0,Italy
1415,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2019,7.69,2.5,GRP,155,78110.0,Slovenia
1416,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,88,78110.0,Italy
1417,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,209,78110.0,Italy
1418,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2001,11.25,3.54,GRP,101,78003.0,Belgium
1419,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.09,2.5,PVC,44,78003.0,France
1420,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,8.23,2.79,GRP,58,78003.0,Germany
1421,Wakeboard/Wakesurf,Moomba power boats,"Used boat,Unleaded",2019,6.22,2.55,GRP,434,87468.00000000001,Switzerland
1422,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,7.88,2.55,GRP,271,87412.50000000001,Switzerland
1423,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,10.49,3.1,GRP,85,77575.0,Spain
1424,Flybridge,Princess power boats,"Used boat,Diesel",1986,13.58,4.17,GRP,112,77575.0,Portugal
1425,Cabin Boat,Marine Offshore power boats,Used boat,2017,7.7,2.6,Wood,40,77575.0,Netherlands
1426,Motor Yacht,Ocqueteau power boats,"Used boat,Diesel",2005,9.75,3.4,GRP,127,77575.0,Germany
1427,Motor Yacht,Rinker power boats,Used boat,2003,11.28,3.66,GRP,82,77575.0,Netherlands
1429,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2008,9.6,2.99,PVC,182,79715.0,Netherlands
1433,Classic,Rapsody power boats,Used boat,2001,8.74,2.45,GRP,149,79715.0,Netherlands
1434,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,8.06,3.0,GRP,135,79618.70000000001,Germany
1435,Sport Boat,Sensation power boats,"new boat from stock,Unleaded",2019,8.04,2.6,GRP,75,79442.15000000001,Germany
1436,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,8.23,2.79,Steel,36,79425.03,France
1437,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.96,2.53,GRP,24,79249.55,Spain
1439,Pilothouse,Sea Ray power boats,"Used boat,Unleaded",2000,10.2,3.48,GRP,200,88800.00000000001,Switzerland
1440,Sport Boat,Windy power boats,Used boat,2000,8.4,2.6,GRP,455,88800.00000000001,Switzerland
1441,"Flybridge,Motor Yacht",Condor Yachting power boats,"Used boat,Diesel",1988,12.0,3.55,Steel,422,88800.00000000001,Switzerland
1442,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1999,13.15,3.3,GRP,331,88800.00000000001,Switzerland
1443,Motor Yacht,Condor Yachting power boats,"Used boat,Diesel",1992,11.65,3.65,Steel,88,79180.0,Germany
1446,Motor Yacht,Fairline power boats,"Used boat,Diesel",1996,11.91,3.66,GRP,73,80250.0,Portugal
1447,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2014,8.72,2.99,GRP,68,80250.0,France
1449,Motor Yacht,Bertram power boats,Used boat,1971,7.5,2.8,GRP,68,80250.0,Finland
1450,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2004,9.6,3.3,GRP,434,80250.0,Italy
1452,Cabin Boat,Absolute power boats,"Used boat,Diesel",2006,10.95,3.95,GRP,472,80250.0,Italy
1453,"Cabin Boat,Sport Boat",Bella power boats,"Used boat,Diesel",2002,8.17,2.6,GRP,186,80250.0,Germany
1454,Motor Yacht,Solcio power boats,"Used boat,Diesel",1995,12.84,4.21,GRP,87,80250.0,Italy
1455,Flybridge,Viking Marin power boats,"Used boat,Diesel",2001,10.0,3.5,GRP,253,80250.0,Germany
1456,Hardtop,Fairline power boats,"Used boat,Diesel",1996,11.92,3.54,GRP,138,80250.0,Portugal
1457,Center console boat,Gagliotta power boats,Used boat,2004,10.3,3.5,GRP,103,80250.0,Italy
1458,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,11.95,3.5,GRP,236,80250.0,Portugal
1461,Flybridge,Azimut power boats,Used boat,1996,11.44,3.96,GRP,91,80250.0,Italy
1462,Trawler,Gillissen power boats,"Used boat,Diesel",1978,13.65,4.05,Steel,162,80250.0,Netherlands
1464,Motor Yacht,Italcraft power boats,"Used boat,Diesel",1990,15.12,4.38,GRP,113,80250.0,Portugal
1467,Motor Yacht,Fairline power boats,"Used boat,Diesel",1991,12.15,4.2,GRP,124,80250.0,Spain
1468,Pilothouse,Rhea power boats,"Used boat,Diesel",2008,9.25,3.1,PVC,158,80250.0,France
1470,Sport Boat,Cruisers Yachts power boats,"Used boat,Diesel",1998,13.1,4.1,GRP,81,80250.0,Spain
1471,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,7.13,2.5,GRP,42,80250.0,Spain
1474,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,9.95,3.36,PVC,105,80250.0,France
1475,"Classic,Runabout",Boesch power boats,Used boat,1990,5.9,2.12,Wood,370,92685.00000000001,Switzerland
1476,Pilothouse,Jeanneau power boats,"new boat on order,Unleaded",2020,8.8,2.99,GRP,33,82637.17,Germany
1477,Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",0,8.56,2.99,GRP,56,82637.17,Germany
1478,Sport Boat,AMT power boats,"new boat from stock,Unleaded",2019,6.8,2.4,GRP,176,92629.50000000001,Switzerland
1479,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,11.75,3.84,GRP,109,82390.0,Italy
1480,Flybridge,Princess power boats,"Used boat,Diesel",1991,14.43,4.29,Plastic,40,82390.0,Italy
1481,Trawler,De Groot power boats,"Used boat,Diesel",1979,14.7,3.7,Steel,82,82390.0,France
1482,Sport Boat,Airon Marine power boats,"Used boat,Diesel",2007,11.0,3.2,PVC,91,82390.0,France
1483,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2005,10.8,3.44,PVC,60,82390.0,France
1484,Sport Boat,Sealine power boats,"Used boat,Diesel",2007,9.36,3.2,GRP,179,82390.0,Adriatic
1485,Offshore Boat,Cigarette power boats,"Used boat,Unleaded",1996,11.58,2.49,GRP,280,82390.0,Italy
1486,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,9.95,3.36,GRP,93,82390.0,France
1487,Flybridge,Uniesse power boats,"Used boat,Diesel",1993,12.0,4.5,GRP,81,82390.0,Italy
1488,Pilothouse,Jeanneau power boats,Used boat,2013,8.71,3.02,PVC,116,96300.0,United
1489,Trawler,Blauwe Hand power boats,"Used boat,Diesel",1985,11.6,3.62,Steel,47,84423.0,Germany
1490,Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.9,2.81,GRP,62,84423.0,Germany
1492,Bowrider,Draco power boats,"new boat from stock,Unleaded",2019,6.68,2.4,GRP,205,94350.00000000001,Switzerland
1493,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2018,7.7,2.54,GRP,183,94350.00000000001,Switzerland
1494,Cabin Boat,Aquanaut power boats,"Used boat,Diesel",1992,10.2,3.3,Steel,336,94350.00000000001,Switzerland
1495,Pilothouse,Jeanneau power boats,new boat from stock,2020,8.9,2.99,GRP,90,84037.8,Germany
1496,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",0,8.9,2.99,GRP,73,84037.8,Germany
1497,Deck Boat,Sessa power boats,"new boat from stock,Unleaded",2020,8.0,2.64,GRP,145,83995.0,Italy
1498,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.96,2.53,PVC,62,83995.0,France
1500,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1969,6.4,2.25,Wood,360,93795.00000000001,Switzerland
1501,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,6.4,2.5,GRP,128,93605.19,Switzerland
1504,Sport Boat,Robalo power boats,Used boat,2008,8.89,3.2,GRP,68,84530.0,Italy
1507,"Classic,Flybridge",Camuffo power boats,"Used boat,Diesel",1986,13.5,4.4,Wood,74,84530.0,Italy
1508,Flybridge,Princess power boats,"Used boat,Diesel",2000,12.67,3.96,PVC,145,84530.0,France
1509,Bowrider,Draco power boats,"Used boat,Unleaded",2015,8.31,2.49,GRP,40,84530.0,Germany
1510,Trawler,Blue Ocean power boats,"Used boat,Diesel",1978,10.8,3.9,GRP,65,84530.0,Netherlands
1511,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,10.34,3.5,GRP,229,84530.0,Italy
1512,Motor Yacht,Statement Marine power boats,"new boat from stock,Diesel",0,8.01,2.59,GRP,159,84530.0,Netherlands
1513,Bowrider,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.35,2.54,PVC,55,84530.0,France
1514,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,7.98,2.93,PVC,29,84530.0,France
1515,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2016,7.6,2.55,GRP,76,84530.0,France
1517,Motor Yacht,Inter power boats,"Used boat,Diesel",2003,9.3,3.15,GRP,252,84530.0,Germany
1518,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,8.94,2.97,PVC,47,84530.0,France
1519,Flybridge,Raffaelli power boats,"Used boat,Diesel",1993,11.4,3.64,GRP,47,84530.0,Italy
1520,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,9.45,2.9,GRP,226,85493.0,Finland
1521,Pilothouse,Viknes power boats,Used boat,2004,8.51,2.97,GRP,79,85493.0,Netherlands
1522,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",1978,13.5,4.25,Steel,189,85493.0,Netherlands
1523,Sport Boat,Invictus power boats,new boat from stock,2016,8.1,2.7,PVC,81,85493.0,France
1524,Sport Boat,Invictus power boats,"new boat from stock,Unleaded",2016,8.1,2.7,PVC,89,85493.0,France
1525,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.93,2.8,GRP,73,85493.0,Germany
1526,Pilothouse,Arvor power boats,"Used boat,Diesel",2012,8.6,2.96,GRP,221,85493.0,Sweden
1527,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.15,2.54,GRP,76,85386.0,Austria
1528,Sport Boat,Invictus power boats,"Display Model,Unleaded",2019,7.45,2.5,GRP,206,85386.0,Switzerland
1529,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.42,2.79,PVC,39,96300.0,United
1530,Pilothouse,Parker power boats,"new boat from stock,Unleaded",0,8.0,2.9,GRP,80,85279.0,Germany
1531,Sport Boat,Sea Ray power boats,"Used boat,Diesel",1999,10.19,3.4,GRP,87,85172.0,Germany
1532,Sport Boat,Flipper power boats,"Display Model,Unleaded",2019,6.7,2.48,GRP,180,95460.00000000001,Switzerland
1533,Cabin Boat,Saver power boats,"new boat from stock,Unleaded",2020,7.75,2.55,GRP,109,85118.5,Germany
1534,Offshore Boat,Sunseeker power boats,"Used boat,Diesel",1998,10.36,3.1,GRP,127,96300.0,United
1536,Motor Yacht,Cruisers Yachts power boats,Used boat,1992,11.34,4.0,GRP,52,85600.0,Malta
1537,Flybridge,Ferretti power boats,"Used boat,Diesel",1990,14.51,4.35,GRP,193,85600.0,Spain
1538,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,7.99,2.77,GRP,26,85600.0,France
1540,Center console boat,Cranchi power boats,Used boat,2006,12.2,3.84,GRP,120,85600.0,Italy
1542,Motor Yacht,Maxum power boats,"Used boat,Diesel",2005,10.67,3.71,GRP,113,85600.0,Montenegro
1543,Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,10.35,3.49,GRP,81,85600.0,Italy
1544,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,10.2,3.2,GRP,148,85600.0,Italy
1546,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,9.5,3.0,GRP,74,85600.0,Netherlands
1547,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,7.74,2.95,Steel,59,85600.0,France
1548,Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2007,9.77,3.22,GRP,29,85600.0,Italy
1550,Cabin Boat,Sessa power boats,"Used boat,Unleaded",2006,10.6,3.53,GRP,225,85600.0,Italy
1551,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,12.19,3.05,GRP,120,85600.0,Malta
1552,Sport Boat,Windy power boats,"Used boat,Unleaded",2003,9.39,2.95,GRP,363,99345.00000000001,Switzerland
1553,House Boat,HT Houseboats power boats,Display Model,2017,10.11,4.5,GRP,268,88275.0,Germany
1554,Trawler,Super van Craft power boats,Used boat,1972,13.85,3.68,Steel,146,88275.0,Netherlands
1555,Classic,Super van Craft power boats,Used boat,1965,14.35,4.15,Steel,179,88275.0,Netherlands
1556,Launch,Jan Van Gent power boats,Used boat,2005,10.35,3.3,GRP,82,88275.0,Netherlands
1558,Trawler,Linssen power boats,"Used boat,Diesel",1990,9.7,3.2,Steel,351,98790.00000000001,Switzerland
1559,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1989,6.8,2.35,Wood,297,98790.00000000001,Switzerland
1560,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2015,6.93,2.59,GRP,728,98790.00000000001,Lake
1561,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2008,9.6,3.56,GRP,53,87740.0,Italy
1563,Fishing Boat,Pursuit power boats,"Used boat,Diesel",1999,11.1,3.89,GRP,45,87740.0,Italy
1564,Motor Yacht,Chaparral power boats,"Used boat,Diesel",2007,11.2,3.61,GRP,106,87740.0,Spain
1565,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2010,10.15,3.33,GRP,66,87740.0,Italy
1566,Pilothouse,Targa power boats,Used boat,2000,8.56,3.04,GRP,80,87740.0,Finland
1567,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.45,GRP,304,90896.5,Germany
1570,Trawler,Zijlmans power boats,Used boat,1995,13.0,4.0,Steel,183,90843.0,Netherlands
1571,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,8.1,2.53,PVC,30,90843.0,France
1572,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,7.95,2.92,GRP,170,90843.0,Germany
1573,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.93,2.8,GRP,95,90843.0,Germany
1574,Motor Yacht,Windy power boats,"Used boat,Diesel",1995,10.84,3.5,GRP,78,90522.0,United
1575,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1994,13.72,1.01,GRP,152,90415.0,Spain
1578,Trawler,Pedro power boats,Used boat,1998,11.2,3.4,Steel,103,90415.0,Netherlands
1579,Launch,Makma power boats,"Used boat,Diesel",2003,9.3,3.3,GRP,110,90415.0,Netherlands
1580,Sport Boat,Viper power boats,"new boat from stock,Unleaded",2020,8.1,2.55,GRP,336,100908.99,Switzerland
1581,Pilothouse,Viknes power boats,Used boat,2005,8.52,2.97,GRP,138,87500.00000000001,Denmark
1582,Flybridge,Viksund power boats,"Used boat,Diesel",2000,9.45,3.2,GRP,290,87500.00000000001,Denmark
1583,Sport Boat,Dellapasqua power boats,new boat from stock,2019,7.75,2.45,GRP,81,90950.0,Italy
1584,Center console boat,Gagliotta power boats,"Used boat,Diesel",2005,10.3,3.5,GRP,31,90950.0,Italy
1585,Center console boat,Itama power boats,"Used boat,Diesel",1981,11.68,3.76,GRP,109,90950.0,Italy
1586,Flybridge,Dellapasqua power boats,Used boat,2004,11.3,3.5,GRP,62,90950.0,Italy
1587,Motor Yacht,Fairline power boats,"Used boat,Diesel",1994,11.46,3.57,GRP,191,90950.0,Italy
1588,Motor Yacht,Doqueve power boats,Used boat,1997,12.5,4.2,GRP,39,90950.0,Spain
1589,Motor Yacht,Pershing power boats,"Used boat,Diesel",1990,14.0,4.04,GRP,89,90950.0,Spain
1590,Motor Yacht,Cranchi power boats,Used boat,1999,10.35,3.49,GRP,55,90950.0,Spain
1591,Flybridge,Piantoni (IT) power boats,"Used boat,Diesel",1993,16.3,5.08,GRP,82,90950.0,Italy
1595,Trawler,Haines power boats,"Used boat,Diesel",2000,10.6,3.66,PVC,57,90950.0,France
1596,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,9.95,3.42,GRP,75,90950.0,France
1597,Motor Yacht,Sagemar power boats,Used boat,2004,11.9,3.9,GRP,162,90950.0,Italy
1598,Motor Yacht,Sealine power boats,"Used boat,Diesel",2002,10.5,3.35,GRP,50,90950.0,Italy
1599,Launch,Makma power boats,Used boat,2008,10.5,3.35,GRP,105,93090.0,Netherlands
1600,Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2020,9.0,2.94,GRP,106,93079.3,France
1601,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.98,2.98,PVC,69,93079.3,Spain
1602,Cabin Boat,Viper power boats,"new boat from stock,Unleaded",0,8.1,2.55,GRP,85,92983.0,Germany
1603,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.03,2.82,PVC,47,92983.0,France
1604,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,6.8,2.5,GRP,143,92865.3,Germany
1605,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,9.95,3.42,PVC,67,96300.0,United
1606,Bowrider,Buster power boats,"new boat from stock,Unleaded",0,7.7,2.5,Aluminium,94,92651.3,Germany
1607,Water ski,Nautique power boats,"new boat on order,Unleaded",2020,6.65,2.41,GRP,123,92555.0,Germany
1608,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,8.3,2.8,GRP,138,92500.43000000001,Germany
1609,Pilothouse,Bayliner power boats,"new boat from stock,Unleaded",2020,7.49,2.55,GRP,327,103463.1,Switzerland
1610,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2007,5.99,2.18,Wood,230,102675.00000000001,Switzerland
1611,Sport Boat,Chris Craft power boats,"Used boat,Unleaded",2006,9.0,3.05,GRP,485,102675.00000000001,Switzerland
1612,Sport Boat,Salpa power boats,"new boat on order,Unleaded",2020,7.65,2.54,GRP,256,103230.00000000001,Switzerland
1613,Bowrider,Tullio Abbate power boats,"new boat from stock,Unleaded",2019,2.36,7.55,GRP,220,103230.00000000001,Switzerland
1614,Sport Boat,Salpa power boats,new boat from stock,2018,7.6,2.53,GRP,197,103230.00000000001,Switzerland
1616,Runabout,Ganz Boats power boats,"Display Model,Unleaded",2019,6.8,2.35,GRP,173,106560.00000000001,Switzerland
1617,"Classic,Sport Boat",Frauscher power boats,Used boat,2010,7.57,2.25,GRP,369,106560.00000000001,Switzerland
1618,Sport Boat,Windy power boats,"Used boat,Diesel",2003,8.42,2.62,GRP,457,106560.00000000001,Switzerland
1619,Sport Boat,Windy power boats,"Used boat,Unleaded",2002,9.39,2.95,GRP,383,106560.00000000001,Switzerland
1620,Motor Yacht,Amer power boats,Used boat,2010,8.7,2.5,GRP,108,94962.5,Netherlands
1621,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.99,2.72,GRP,191,106493.40000000001,Switzerland
1623,Sport Boat,Sessa power boats,"new boat from stock,Unleaded",2019,7.67,2.43,GRP,193,94864.06000000001,Switzerland
1624,Motor Yacht,Four Winns power boats,"Used boat,Unleaded",2003,9.5,3.2,GRP,471,105450.00000000001,Switzerland
1625,Motor Yacht,Windy power boats,"Used boat,Unleaded",1994,9.9,3.45,GRP,1319,105450.00000000001,Switzerland
1626,Sport Boat,MasterCraft power boats,"new boat from stock,Unleaded",0,6.09,2.49,GRP,175,94695.0,Germany
1627,Motor Yacht,Glastron power boats,"Used boat,Unleaded",2016,7.67,2.55,GRP,711,106005.00000000001,Switzerland
1628,Sport Boat,Four Winns power boats,new boat from stock,2019,6.58,2.55,GRP,199,105790.77,Switzerland
1629,Motor Yacht,Rio power boats,"Used boat,Diesel",1996,14.27,4.25,GRP,103,94160.0,Italy
1630,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2010,8.36,2.95,PVC,124,94160.0,Cyprus
1632,Motor Yacht,Quicksilver power boats,"new boat from stock,Unleaded",0,8.91,2.98,GRP,108,95230.0,Germany
1633,Motor Yacht,Sunseeker power boats,Used boat,1991,13.1,3.3,GRP,199,95230.0,Spain
1635,Hardtop,Bavaria power boats,"Used boat,Unleaded",2008,10.45,3.45,GRP,229,95230.0,Italy
1636,Pilothouse,Rhea power boats,"Used boat,Diesel",2004,10.25,3.5,PVC,145,95230.0,France
1637,Hardtop,Neptunus Yachts power boats,"Used boat,Diesel",2001,12.3,3.78,GRP,53,95230.0,Spain
1638,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1993,12.0,3.0,GRP,80,95230.0,INFO
1639,Motor Yacht,Pikmeerkruiser power boats,"Used boat,Diesel",1991,12.5,4.0,Steel,122,95230.0,Netherlands
1641,Flybridge,Dellapasqua power boats,"Used boat,Diesel",2003,11.3,3.5,GRP,63,95230.0,Italy
1642,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,7.98,2.94,GRP,28,95230.0,Spain
1643,Trawler,Vacance power boats,Used boat,1998,11.2,3.6,Steel,65,95230.0,Netherlands
1645,Pilothouse,Aquador power boats,Used boat,2009,8.8,3.1,GRP,135,95230.0,Netherlands
1646,Flybridge,Sciallino power boats,"Used boat,Diesel",2003,10.61,3.3,GRP,124,95230.0,Italy
1648,Motor Yacht,Bavaria power boats,new boat from stock,2018,8.76,2.99,GRP,296,96193.0,Italy
1649,Classic,Super van Craft power boats,"Used boat,Diesel",1974,11.55,3.5,Steel,93,96193.0,Netherlands
1650,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,12.5,3.5,GRP,232,96193.0,Netherlands
1652,Bowrider,Cobalt power boats,"new boat from stock,Unleaded",2020,6.96,2.59,GRP,87,96193.0,Germany
1653,Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,10.2,3.2,GRP,222,96193.0,Germany
1655,Flybridge,Neptunus power boats,"Used boat,Diesel",1990,13.8,4.4,PVC,156,96193.0,Netherlands
1656,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2019,7.2,2.55,GRP,77,95925.5,Austria
1657,Pilothouse,Stickl power boats,"new boat from stock,Electric",2020,7.3,2.3,GRP,104,95925.5,Germany
1658,Sport Boat,Monterey power boats,"new boat from stock,Unleaded",2017,7.04,2.6,GRP,77,107559.00000000001,Switzerland
1659,Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2018,6.4,2.59,GRP,316,107559.00000000001,Switzerland
1660,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,6.25,2.5,GRP,218,107510.16,Switzerland
1663,Pilothouse,Bella power boats,"new boat from stock,Unleaded",2019,6.65,2.6,GRP,163,109890.00000000001,Switzerland
1664,Pilothouse,Rhea power boats,new boat from stock,0,7.3,3.0,GRP,137,97814.05,Netherlands
1665,"Classic,Pontoon Boat",Giudecca power boats,"Used boat,Unleaded",1993,7.56,2.31,GRP,164,108780.00000000001,Switzerland
1666,"Classic,Pontoon Boat,Trawler",Giudecca power boats,"Used boat,Unleaded",1993,7.56,2.0,GRP,282,108780.00000000001,Switzerland
1668,Trawler,De Boarnstream power boats,"Used boat,Diesel",1991,9.4,3.4,Steel,200,109335.00000000001,Switzerland
1669,Cabin Boat,Grandezza power boats,"new boat on order,Unleaded",2020,7.56,2.59,GRP,87,97263.0,Germany
1672,Wakeboard/Wakesurf,Moomba power boats,"Display Model,Unleaded",2020,6.53,2.59,GRP,267,108558.00000000001,Switzerland
1673,Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2019,7.8,2.49,PVC,180,96601.74,Portugal
1674,Motor Yacht,Glacer power boats,Used boat,1989,13.98,4.12,Steel,55,96300.0,Netherlands
